"Serie","cvegeo","Entidad_federativa","Periodo","Población_con_acceso_al_agua_entubada_y_al_saneamiento|Total","Población_con_acceso_al_agua_entubada_y_al_saneamiento|Hombres","Población_con_acceso_al_agua_entubada_y_al_saneamiento|Mujeres","Población_con_acceso_al_agua_entubada_y_al_saneamiento|Hablantes_de_lengua_indígena","Población_con_acceso_al_agua_entubada_y_al_saneamiento|Población_con_alguna_discapacidad","Población_con_acceso_al_agua_entubada_y_al_saneamiento|Cambio_de_residencia",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	03,"Baja_California_Sur","2022","21.7279997718059","21.9850710052206","21.4763190576547","ND","22.3407246349647","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	04,"Campeche","2022","58.3857603353084","57.2902093047596","59.449082529817","51.5171793638512","56.6457528957529","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	05,"Coahuila_de_Zaragoza","2022","72.0511119013837","71.6022544782644","72.4871141005889","ND","69.8419395033506","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	06,"Colima","2022","81.6721862462623","81.3522128984322","81.9758346790804","ND","78.6144408801846","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	07,"Chiapas","2022","28.1055706040534","28.845697435015","27.4405664306539","43.317063930646","27.7880876771745","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	08,"Chihuahua","2022","87.6750745892339","87.4616650439946","87.8795764933875","46.5713467474199","82.5909495730572","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	09,"Ciudad_de_México","2022","69.5211644160912","68.2571779761885","70.6151034040711","50.795430653865","64.5263293357764","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	10,"Durango","2022","75.7972873508129","74.5539581957173","76.9609218779286","ND","72.7175404886083","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	11,"Guanajuato","2022","69.1947574790862","69.1022624638429","69.2802920433159","ND","63.3010152926632","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	12,"Guerrero","2022","12.8373462190008","12.5377782492225","13.1071525276832","12.7073194954812","13.6836392430403","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	13,"Hidalgo","2022","29.7076830979447","29.7521049119642","29.6679241432503","ND","24.7080398416243","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	14,"Jalisco","2022","80.0865191329125","79.4660508056072","80.6632402356362","ND","75.2615085767775","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	15,"México","2022","43.3969948421207","43.6629817511224","43.1491759344927","27.7668496054008","39.8111119364882","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	16,"Michoacán_de_Ocampo","2022","38.1902097726665","38.1933115823817","38.1874340383428","ND","35.9913169665804","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	17,"Morelos","2022","18.8137690066523","18.6432744830792","18.9654572749158","ND","17.4869103228787","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	18,"Nayarit","2022","48.9924940250157","48.8397346385743","49.1377884153026","ND","50.8986741992801","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	19,"Nuevo_León","2022","75.6083388674759","75.0975959316536","76.1083600615997","67.7944692561014","73.2029083483947","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	20,"Oaxaca","2022","24.0746854204555","24.7036695544804","23.5246847013732","26.4383143723182","26.533719703486","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	21,"Puebla","2022","24.3593566251595","24.1325619414189","24.5629147307853","ND","23.3296501254404","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	22,"Querétaro","2022","68.2229146302879","68.2002097253202","68.2440465974093","54.4636822128633","68.2943789839675","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	23,"Quintana_Roo","2022","79.7118615867433","79.9071943734364","79.5180459987489","77.3728920035738","72.2530815214516","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	24,"San_Luis_Potosí","2022","39.4085528120618","39.4332884457244","39.3861342638834","19.2690747787128","36.1218883633995","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	25,"Sinaloa","2022","84.1619296791737","83.1410913580213","85.0964765256789","ND","82.7892850800705","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	26,"Sonora","2022","79.6890634881245","79.5048729978511","79.8700358337141","26.4197530864197","79.6558656524303","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	27,"Tabasco","2022","59.742591511326","59.5569704204802","59.915004320074","ND","57.2145999989803","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	28,"Tamaulipas","2022","82.0264150722573","81.8375731860965","82.2016202809626","86.9313152770402","78.8702003376579","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	29,"Tlaxcala","2022","36.3944530945609","35.8252785815428","36.9074670595384","13.1275649374585","33.3722495398731","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	30,"Veracruz_de_Ignacio_de_la_Llave","2022","42.3371742302403","42.5709124053728","42.1307840012999","ND","42.1253538031026","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	31,"Yucatán","2022","86.8201692753486","86.9567018065792","86.6898568483917","78.0620246458111","84.8455135630202","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	32,"Zacatecas","2022","37.2374209429571","37.1222153181693","37.3431387669831","ND","40.4295589203423","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	00,"Estados_Unidos_Mexicanos","2020","58.4983671931026","58.3224925506726","58.6629676570781","37.112687225478","55.5072953345487","63.4732131010872",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	01,"Aguascalientes","2020","81.3426685476427","81.9868800013985","80.7522643766556","98.5871271585557","80.02805911633","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	02,"Baja_California","2020","84.0048278894924","83.859135314804","84.1491132788562","55.9718908146944","84.7289535866434","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	03,"Baja_California_Sur","2020","18.7732482077801","19.1252466525289","18.4173784290051","ND","19.992351662507","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	04,"Campeche","2020","67.4986171012945","66.5225055926447","68.4266220294622","55.8593557501191","67.1551560883942","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	05,"Coahuila_de_Zaragoza","2020","75.6091083233896","75.4362442750242","75.7769496945666","71.4477867449254","69.6201811910087","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	06,"Colima","2020","83.5922873415946","83.8867236786766","83.314318688969","82.6283048211508","79.569834510269","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	07,"Chiapas","2020","29.2934287903893","29.2630124590738","29.3213091867064","45.4669921684127","25.9657802633125","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	08,"Chihuahua","2020","85.3406574254732","85.3286820286777","85.3521946669908","36.3826002380373","81.603040015146","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	09,"Ciudad_de_México","2020","70.2463269875996","69.3275336157865","71.0745901890656","42.0158286778398","64.6289386401327","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	10,"Durango","2020","78.7441546587532","77.6228662732928","79.8042319971808","ND","77.9053992309909","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	11,"Guanajuato","2020","71.1788116305289","70.8987219602426","71.4380768278557","71.9049794426679","69.5039804041641","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	12,"Guerrero","2020","13.7268202653095","13.4033166518786","14.0229308495437","17.7045152126175","13.5095212099804","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	13,"Hidalgo","2020","46.9370147793375","47.0845943988841","46.8050267497521","35.5958732678103","47.104719515547","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	14,"Jalisco","2020","79.2583325569208","78.8431967232568","79.6454658232161","77.9006087776051","77.9393784875332","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	15,"México","2020","48.2846226516453","47.7479182187917","48.7967329498647","29.5643394790257","44.3253470871572","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	16,"Michoacán_de_Ocampo","2020","46.9894728234636","46.758740250969","47.2066846799563","ND","45.4261882383673","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	17,"Morelos","2020","26.1205937230052","25.6591557333316","26.5415933588435","ND","26.5568018565587","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	18,"Nayarit","2020","52.7936168048174","53.8300601564368","51.8261336547183","31.6534812353951","51.4986220875942","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	19,"Nuevo_León","2020","93.6230968475583","93.451202802782","93.7897292426056","88.1758693632248","89.0774599108695","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	20,"Oaxaca","2020","25.4539473115895","25.4064104168002","25.4964149450134","25.9799589057231","28.9614218246707","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	21,"Puebla","2020","22.3888647991583","22.3400883601988","22.4325364189629","ND","21.2740825054199","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	22,"Querétaro","2020","74.3910767509622","74.3312293095114","74.445970410138","56.2934695636117","71.7012185889122","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	23,"Quintana_Roo","2020","85.9283909690792","85.6753507691463","86.1848861152843","82.3792234736218","82.8419031019012","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	24,"San_Luis_Potosí","2020","44.1385342073693","43.0647479161603","45.1322592395264","15.3689202602845","38.1662265811643","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	25,"Sinaloa","2020","86.3040546804271","85.1079545301239","87.441086509051","39.0899799104783","84.1597641511736","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	26,"Sonora","2020","80.2428466178679","79.8136460253002","80.6678963834617","32.8474634174116","79.9479617552567","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	27,"Tabasco","2020","59.2692550322125","58.6867812750121","59.8157579725354","ND","51.7045213844357","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	28,"Tamaulipas","2020","82.2590862379533","81.7115257872132","82.7866022387425","92.8519140507256","77.4144834232462","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	29,"Tlaxcala","2020","41.7013321007846","41.8066439825043","41.6039496400929","29.1799845696021","38.7248490245735","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	30,"Veracruz_de_Ignacio_de_la_Llave","2020","41.6817524516457","41.4744840269684","41.8751116424637","16.5939589127995","43.903340816057","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	31,"Yucatán","2020","85.2582688452354","84.7477406303275","85.7166509486793","75.9012595261515","84.2434743090863","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	32,"Zacatecas","2020","37.0521082673541","36.47689076433","37.5870814434345","ND","36.1584898057237","NA",
"Porcentaje_de_la_población_que_tiene_acceso_al_agua_entubada_diariamente_así_como_al_saneamiento<b><i>_[INEGI]_</i></b>",	00,"Estados_Unidos_Mexicanos","2018","57.6110035329687","57.5846532915981","57.6358724920905","38.3576401704791","55.9984468477491","62.888227257852",
